Title,Cast,Director,Headline,Runtime (Min),Genres,Production Company,Release Date,Category,Name,Winner
Underworld,Kate Beckinsale|Scott Speedman|Michael Sheen|Shane Brolly|Bill Nighy,Len Wiseman,An immortal battle for supremacy.,121,Fantasy|Action|Thriller,Lakeshore Entertainment|Laurinfilm|Subterranean Productions LLC|Subterranean Productions UK Ltd.|Underworld Produktions GmbH,9/19/03,WRITING (Original Story),Ben Hecht,True
Emma,Gwyneth Paltrow|Toni Collette|Alan Cumming|Ewan McGregor|Jeremy Northam,Douglas McGrath,Cupid is armed and dangerous!,121,Comedy|Drama|Romance,Miramax Films|Haft Entertainment|Matchmaker Films,8/2/96,ACTRESS,Marie Dressler,False
Morning Glory,Rachel McAdams|Harrison Ford|Patrick Wilson|Jeff Goldblum|Diane Keaton,Roger Michell,Breakfast TV just got interesting.,102,Comedy|Drama|Romance,Bad Robot|Goldcrest Pictures,1/12/10,ACTRESS,Katharine Hepburn,True
Men in Black,Tommy Lee Jones|Will Smith|Linda Fiorentino|Vincent D'Onofrio|Rip Torn,Barry Sonnenfeld,Protecting the Earth from the scum of the universe.,98,Action|Adventure|Comedy|Science Fiction,Amblin Entertainment|Columbia Pictures Corporation|Parkes+MacDonald Image Nation,7/1/97,SHORT SUBJECT (Comedy),"Jules White, Producer",False
Marie Antoinette,Kirsten Dunst|Jason Schwartzman|Judy Davis|Rip Torn|Asia Argento,Sofia Coppola,Rumor. Scandal. Fame. Revolution.,123,Drama|History,American Zoetrope|Columbia Pictures Corporation|Pricel|Tohokushinsha Film|Commission du Film France,5/24/06,ACTOR IN A SUPPORTING ROLE,Robert Morley,False
Marie Antoinette,Kirsten Dunst|Jason Schwartzman|Judy Davis|Rip Torn|Asia Argento,Sofia Coppola,Rumor. Scandal. Fame. Revolution.,123,Drama|History,American Zoetrope|Columbia Pictures Corporation|Pricel|Tohokushinsha Film|Commission du Film France,5/24/06,ACTRESS,Norma Shearer,False
Marie Antoinette,Kirsten Dunst|Jason Schwartzman|Judy Davis|Rip Torn|Asia Argento,Sofia Coppola,Rumor. Scandal. Fame. Revolution.,123,Drama|History,American Zoetrope|Columbia Pictures Corporation|Pricel|Tohokushinsha Film|Commission du Film France,5/24/06,ART DIRECTION,Cedric Gibbons,False
Marie Antoinette,Kirsten Dunst|Jason Schwartzman|Judy Davis|Rip Torn|Asia Argento,Sofia Coppola,Rumor. Scandal. Fame. Revolution.,123,Drama|History,American Zoetrope|Columbia Pictures Corporation|Pricel|Tohokushinsha Film|Commission du Film France,5/24/06,MUSIC (Original Score),Herbert Stothart,False
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,ACTOR,Laurence Olivier,False
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,ACTRESS IN A SUPPORTING ROLE,Geraldine Fitzgerald,False
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,ART DIRECTION,James Basevi,False
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,CINEMATOGRAPHY (Black-and-White),Gregg Toland,True
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,DIRECTING,William Wyler,False
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,MUSIC (Original Score),Alfred Newman,False
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,False
Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,Love is a force of nature.,129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,WRITING (Screenplay),"Charles MacArthur, Ben Hecht",False
The Three Musketeers,Charlie Sheen|Kiefer Sutherland|Chris O'Donnell|Oliver Platt|Tim Curry,Stephen Herek,All for one and one for all!,105,Action|Adventure|Comedy,Walt Disney Pictures|Caravan Pictures,11/11/93,CINEMATOGRAPHY (Color),Robert Planck,False
