film,year_film,year_ceremony,ceremony,category,name,winner
Fanny,1961,1962,34,ACTOR,Charles Boyer,FALSE
The Mark,1961,1962,34,ACTOR,Stuart Whitman,FALSE
Two Women,1961,1962,34,ACTRESS,Sophia Loren,TRUE
Summer and Smoke,1961,1962,34,ACTRESS,Geraldine Page,FALSE
The Roman Spring of Mrs. Stone,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Lotte Lenya,FALSE
The Absent Minded Professor,1961,1962,34,ART DIRECTION (Black-and-White),"Art Direction:  Carroll Clark;  Set Decoration:  Emile Kuri, Hal Gausman",FALSE
La Dolce Vita,1961,1962,34,ART DIRECTION (Black-and-White),Piero Gherardi,FALSE
Flower Drum Song,1961,1962,34,ART DIRECTION (Color),"Art Direction:  Alexander Golitzen, Joseph Wright;  Set Decoration:  Howard Bristol",FALSE
A Majority of One,1961,1962,34,CINEMATOGRAPHY (Color),"Harry Stradling, Sr.",FALSE
Claudelle Inglish,1961,1962,34,COSTUME DESIGN (Black-and-White),Howard Shoup,FALSE
Yojimbo,1961,1962,34,COSTUME DESIGN (Black-and-White),Yoshiro Muraki,FALSE
Back Street,1961,1962,34,COSTUME DESIGN (Color),Jean Louis,FALSE
La Grande Olimpiade (Olympic Games 1960),1961,1962,34,DOCUMENTARY (Feature),"dell Istituto Nazionale Luce, Comitato Organizzatore Del Giochi Della XVII Olimpiade",FALSE
Le Ciel et la Boue (Sky Above and Mud Beneath),1961,1962,34,DOCUMENTARY (Feature),"Arthur Cohn and Rene Lafuite, Producers",TRUE
Breaking the Language Barrier,1961,1962,34,DOCUMENTARY (Short Subject),United States Air Force,FALSE
Cradle of Genius,1961,1962,34,DOCUMENTARY (Short Subject),"Jim O'Connor and Tom Hayes, Producers",FALSE
Kahl,1961,1962,34,DOCUMENTARY (Short Subject),Dido-Film-GmbH,FALSE
L'Uomo in Grigio (The Man in Gray),1961,1962,34,DOCUMENTARY (Short Subject),"Benedetto Benedetti, Producer",FALSE
Project Hope,1961,1962,34,DOCUMENTARY (Short Subject),"Frank P. Bibas, Producer",TRUE
Harry and the Butler,1961,1962,34,FOREIGN LANGUAGE FILM,Denmark,FALSE
Immortal Love,1961,1962,34,FOREIGN LANGUAGE FILM,Japan,FALSE
The Important Man,1961,1962,34,FOREIGN LANGUAGE FILM,Mexico,FALSE
Placido,1961,1962,34,FOREIGN LANGUAGE FILM,Spain,FALSE
Through a Glass Darkly,1961,1962,34,FOREIGN LANGUAGE FILM,Sweden,TRUE
Khovanshchina,1961,1962,34,MUSIC (Scoring of a Musical Picture),Dimitri Shostakovich,FALSE
Paris Blues,1961,1962,34,MUSIC (Scoring of a Musical Picture),Duke Ellington,FALSE
Bachelor in Paradise,1961,1962,34,MUSIC (Song),Music by Henry Mancini; Lyrics by Mack David,FALSE
Town without Pity,1961,1962,34,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,FALSE
Aquamania,1961,1962,34,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",FALSE
Beep Prepared,1961,1962,34,SHORT SUBJECT (Cartoon),"Chuck Jones, Producer",FALSE
Ersatz (The Substitute),1961,1962,34,SHORT SUBJECT (Cartoon),Zagreb Film,TRUE
Nelly's Folly,1961,1962,34,SHORT SUBJECT (Cartoon),"Chuck Jones, Producer",FALSE
The Pied Piper of Guadalupe,1961,1962,34,SHORT SUBJECT (Cartoon),"Friz Freleng, Producer",FALSE
Ballon Vole (Play Ball!),1961,1962,34,SHORT SUBJECT (Live Action),Cin̩-Documents,FALSE
The Face of Jesus,1961,1962,34,SHORT SUBJECT (Live Action),"Dr. John D. Jennings, Producer",FALSE
Rooftops of New York,1961,1962,34,SHORT SUBJECT (Live Action),"Robert Gaffney, Producer",FALSE
Seawards the Great Ships,1961,1962,34,SHORT SUBJECT (Live Action),Templar Film Studios,TRUE
"Very Nice, Very Nice",1961,1962,34,SHORT SUBJECT (Live Action),National Film Board of Canada,FALSE
Ballad of a Soldier,1961,1962,34,WRITING (Story and Screenplay--written directly for the screen),"Valentin Yoshov, Grigori Chukhrai",FALSE
General Della Rovere,1961,1962,34,WRITING (Story and Screenplay--written directly for the screen),"Sergio Amidei, Diego Fabbri, Indro Montanelli",FALSE
Lover Come Back,1961,1962,34,WRITING (Story and Screenplay--written directly for the screen),"Stanley Shapiro, Paul Henning",FALSE
,1961,1962,34,JEAN HERSHOLT HUMANITARIAN AWARD,George Seaton,TRUE
Divorce--Italian Style,1962,1963,35,ACTOR,Marcello Mastroianni,FALSE
Sweet Bird of Youth,1962,1963,35,ACTOR IN A SUPPORTING ROLE,Ed Begley,TRUE
Billy Budd,1962,1963,35,ACTOR IN A SUPPORTING ROLE,Terence Stamp,FALSE
Long Day's Journey into Night,1962,1963,35,ACTRESS,Katharine Hepburn,FALSE
Period of Adjustment,1962,1963,35,ART DIRECTION (Black-and-White),"Art Direction:  George W. Davis, Edward Carfagno;  Set Decoration:  Henry Grace, Dick Pefferle",FALSE
The Pigeon That Took Rome,1962,1963,35,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Roland Anderson;  Set Decoration:  Sam Comer, Frank R. McKelvy",FALSE
Meredith Willson's The Music Man,1962,1963,35,ART DIRECTION (Color),Art Direction:  Paul Groesse;  Set Decoration:  George James Hopkins,FALSE
